id,source,target,score,accession,platformType,platform,pathway,cells,treatment,dose,effect,hours,sign,targets,level,mean_ligand_score
TNFA@Condition:HT1080 (fibrosarcoma cell line)@GSE46599.MicroArray.GPL10558,TNF,TNF,-0.5580578929657556,GSE46599,MicroArray,GPL10558,NA,HT1080 (fibrosarcoma cell line),TNF,NA,activating,NA,1,TNFA,1,-0.06184175672866599
TNFA@Condition:HT29&Duration:24h@GSE136439.MicroArray.HT_HG-U133_Plus_PM,TNF,TNF,1.1539990918005096,GSE136439,MicroArray,HT_HG-U133_Plus_PM,NA,HT29,TNF,NA,activating,24h,1,TNFA,1,-0.06184175672866599
TNFA@Condition:HT29&Duration:4h@GSE136439.MicroArray.HT_HG-U133_Plus_PM,TNF,TNF,-0.4013582815323692,GSE136439,MicroArray,HT_HG-U133_Plus_PM,NA,HT29,TNF,NA,activating,4h,1,TNFA,1,-0.06184175672866599
TNFA@Condition:HuH7&Duration:72h@GSE122660.MicroArray.GPL13158,TNF,TNF,-0.24692143356575583,GSE122660,MicroArray,GPL13158,NA,HuH7,TNF,NA,activating,72h,1,TNFA,1,-0.06184175672866599
TNFA@Condition:human gingival fibroblast cell lines&Duration:1h@GSE13903.MicroArray.GPL7768,TNF,TNF,-0.37996894609888643,GSE13903,MicroArray,GPL7768,NA,human gingival fibroblast cell lines,TNF,NA,activating,1h,1,TNFA,1,-0.06184175672866599
TNFA@Condition:human gingival fibroblast cell lines&Duration:3h@GSE13903.MicroArray.GPL7768,TNF,TNF,-0.15592517515001594,GSE13903,MicroArray,GPL7768,NA,human gingival fibroblast cell lines,TNF,NA,activating,3h,1,TNFA,1,-0.06184175672866599
TNFA@Condition:human gingival fibroblast cell lines&Duration:6h@GSE13903.MicroArray.GPL7768,TNF,TNF,0.5896685950892778,GSE13903,MicroArray,GPL7768,NA,human gingival fibroblast cell lines,TNF,NA,activating,6h,1,TNFA,1,-0.06184175672866599
TNFA@Condition:human umblical vein endothelial cells@GSE121958.RNASeq.SRP167203_GRCh38,TNF,TNF,-0.1661895788570861,GSE121958,RNASeq,SRP167203_GRCh38,NA,human umblical vein endothelial cells,TNF,NA,activating,NA,1,TNFA,1,-0.06184175672866599
TNFA@Condition:HUVEC@GSE22175.MicroArray.HG-U133A_2,TNF,TNF,-0.9044422649660664,GSE22175,MicroArray,HG-U133A_2,NA,HUVEC,TNF,NA,activating,NA,1,TNFA,1,-0.06184175672866599
TNFA@Condition:HUVEC@GSE9647.MicroArray.HG-U133_Plus_2,TNF,TNF,-0.1674873448085104,GSE9647,MicroArray,HG-U133_Plus_2,NA,HUVEC,TNF,NA,activating,NA,1,TNFA,1,-0.06184175672866599
TNFA@Condition:Jurkat (T cell line)@GSE46599.MicroArray.GPL10558,TNF,TNF,-0.2781771382627759,GSE46599,MicroArray,GPL10558,NA,Jurkat (T cell line),TNF,NA,activating,NA,1,TNFA,1,-0.06184175672866599
TNFA@Condition:K562&Duration:24h@GSE136439.MicroArray.HT_HG-U133_Plus_PM,TNF,TNF,0.5302073438456801,GSE136439,MicroArray,HT_HG-U133_Plus_PM,NA,K562,TNF,NA,activating,24h,1,TNFA,1,-0.06184175672866599
TNFA@Condition:K562&Duration:4h@GSE136439.MicroArray.HT_HG-U133_Plus_PM,TNF,TNF,-1.6240193517848776,GSE136439,MicroArray,HT_HG-U133_Plus_PM,NA,K562,TNF,NA,activating,4h,1,TNFA,1,-0.06184175672866599
TNFA@Condition:Keratinocyte&Duration:6h@GSE74407.MicroArray.GPL10558,TNF,TNF,1.3241994101675056,GSE74407,MicroArray,GPL10558,NA,Keratinocyte,TNF,NA,activating,6h,1,TNFA,1,-0.06184175672866599
TNFA@Condition:Macrophage@E-MTAB-3255.MicroArray.MDM_Transformed_data_matrix,TNF,TNF,0.8636843287246869,E-MTAB-3255,MicroArray,MDM_Transformed_data_matrix,NA,Macrophage,TNF,NA,activating,NA,1,TNFA,1,-0.06184175672866599
TNFA@Condition:Monocyte@GSE100382.RNASeq.SRP110187_GRCh38,TNF,TNF,1.0837870843766253,GSE100382,RNASeq,SRP110187_GRCh38,NA,Monocyte,TNF,NA,activating,NA,1,TNFA,1,-0.06184175672866599
TNFA@Condition:PHH&Duration:72h@GSE122660.MicroArray.GPL13158,TNF,TNF,0.46580945070628416,GSE122660,MicroArray,GPL13158,NA,PHH,TNF,NA,activating,72h,1,TNFA,1,-0.06184175672866599
TNFA@Condition:PMA-THP-1 (PMA-treated monocytic cell line)@GSE46599.MicroArray.GPL10558,TNF,TNF,-0.14585655902242786,GSE46599,MicroArray,GPL10558,NA,PMA-THP-1 (PMA-treated monocytic cell line),TNF,NA,activating,NA,1,TNFA,1,-0.06184175672866599
TNFA@Condition:PMA-U937 (PMA-treated monocytic cell line)@GSE46599.MicroArray.GPL10558,TNF,TNF,0.8525542128394362,GSE46599,MicroArray,GPL10558,NA,PMA-U937 (PMA-treated monocytic cell line),TNF,NA,activating,NA,1,TNFA,1,-0.06184175672866599
TNFA@Condition:Retinal pigment epithelial (RPE) cells&Duration:48h@GSE36331.MicroArray.GPL6244,TNF,TNF,0.4009931415116265,GSE36331,MicroArray,GPL6244,NA,Retinal pigment epithelial (RPE) cells,TNF,NA,activating,48h,1,TNFA,1,-0.06184175672866599
TNFA@Condition:SGBS adipocyte@GSE64233.RNASeq.SRP051211_GRCh38,TNF,TNF,-0.15266536548441872,GSE64233,RNASeq,SRP051211_GRCh38,NA,SGBS adipocyte,TNF,NA,activating,NA,1,TNFA,1,-0.06184175672866599
TNFA@Condition:Smooth muscle cells@GSE96962.RNASeq.SRP102361_GRCh38,TNF,TNF,-0.2873896164871182,GSE96962,RNASeq,SRP102361_GRCh38,NA,Smooth muscle cells,TNF,NA,activating,NA,1,TNFA,1,-0.06184175672866599
TNFA@Condition:synovium.OA@GSE93720.MicroArray.GPL570,TNF,TNF,0.0647560781148748,GSE93720,MicroArray,GPL570,NA,synovium.OA,TNF,NA,activating,NA,1,TNFA,1,-0.06184175672866599
TNFA@Condition:synovium.RA@GSE93720.MicroArray.GPL570,TNF,TNF,-0.32486838067532803,GSE93720,MicroArray,GPL570,NA,synovium.RA,TNF,NA,activating,NA,1,TNFA,1,-0.06184175672866599
TNFA@Condition:T84@GSE1474.MicroArray.GPL96,TNF,TNF,1.4296854415511357,GSE1474,MicroArray,GPL96,NA,T84,TNF,NA,activating,NA,1,TNFA,1,-0.06184175672866599
TNFA@Condition:THP-1 (monocytic cell line)@GSE46599.MicroArray.GPL10558,TNF,TNF,-0.11756719658811175,GSE46599,MicroArray,GPL10558,NA,THP-1 (monocytic cell line),TNF,NA,activating,NA,1,TNFA,1,-0.06184175672866599
"TNFA@Condition:U87-MG (glioblastoma-astrocytoma, epithelial-like cell line)@GSE46599.MicroArray.GPL10558",TNF,TNF,-0.1121538062388925,GSE46599,MicroArray,GPL10558,NA,"U87-MG (glioblastoma-astrocytoma, epithelial-like cell line)",TNF,NA,activating,NA,1,TNFA,1,-0.06184175672866599
TNFA@Condition:U937 (monocytic cell line)@GSE46599.MicroArray.GPL10558,TNF,TNF,0.03510679546048605,GSE46599,MicroArray,GPL10558,NA,U937 (monocytic cell line),TNF,NA,activating,NA,1,TNFA,1,-0.06184175672866599
TNFA@Condition:vascular endothelial cells@GSE115311.RNASeq.SRP149723_GRCh38,TNF,TNF,0.4427709989391156,GSE115311,RNASeq,SRP149723_GRCh38,NA,vascular endothelial cells,TNF,NA,activating,NA,1,TNFA,1,-0.06184175672866599
TNFA@Condition:Whole Blood&Duration:2h@GSE25742.MicroArray.GPL10558,TNF,TNF,-0.6202103234220968,GSE25742,MicroArray,GPL10558,NA,Whole Blood,TNF,NA,activating,2h,1,TNFA,1,-0.06184175672866599
FGF10@Condition:BT474&Duration:6h@GSE70759.MicroArray.GPL10558,FGF10,FGF10,0.9245521464331055,GSE70759,MicroArray,GPL10558,NA,BT474,FGF10,NA,activating,6h,1,FGF10,4,-0.11965703262498546
FGF10@Condition:MCF-7&Duration:24h@GSE48924.MicroArray.GPL10558,FGF10,FGF10,-0.18685943419367126,GSE48924,MicroArray,GPL10558,NA,MCF-7,FGF10,NA,activating,24h,1,FGF10,4,-0.11965703262498546
FGF10@Condition:MCF-7&Duration:24h@GSE48925.MicroArray.GPL10558,FGF10,FGF10,0.36461786180853256,GSE48925,MicroArray,GPL10558,NA,MCF-7,FGF10,NA,activating,24h,1,FGF10,4,-0.11965703262498546
FGF10@Condition:MCF-7&Duration:6h@GSE48924.MicroArray.GPL10558,FGF10,FGF10,-0.3926729841278206,GSE48924,MicroArray,GPL10558,NA,MCF-7,FGF10,NA,activating,6h,1,FGF10,4,-0.11965703262498546
FGF10@Condition:MCF-7&Duration:6h@GSE48925.MicroArray.GPL10558,FGF10,FGF10,-0.44688940139739125,GSE48925,MicroArray,GPL10558,NA,MCF-7,FGF10,NA,activating,6h,1,FGF10,4,-0.11965703262498546
FGF10@Condition:MCF-7&Duration:6h@GSE70759.MicroArray.GPL10558,FGF10,FGF10,-0.22051899359770777,GSE70759,MicroArray,GPL10558,NA,MCF-7,FGF10,NA,activating,6h,1,FGF10,4,-0.11965703262498546
FGF10@Condition:SUM52PE&Duration:6h@GSE70759.MicroArray.GPL10558,FGF10,FGF10,-0.14314693775377857,GSE70759,MicroArray,GPL10558,NA,SUM52PE,FGF10,NA,activating,6h,1,FGF10,4,-0.11965703262498546
FGF10@Condition:T47D&Duration:6h@GSE70759.MicroArray.GPL10558,FGF10,FGF10,-0.8086244477792996,GSE70759,MicroArray,GPL10558,NA,T47D,FGF10,NA,activating,6h,1,FGF10,4,-0.11965703262498546
FGF10@Condition:ZR751&Duration:6h@GSE70759.MicroArray.GPL10558,FGF10,FGF10,-0.1673711030168382,GSE70759,MicroArray,GPL10558,NA,ZR751,FGF10,NA,activating,6h,1,FGF10,4,-0.11965703262498546
IL10@Condition:CD4+ T cell@GSE17946.MicroArray.GPL2507,IL10,IL10,-4.275381965534073,GSE17946,MicroArray,GPL2507,NA,CD4+ T cell,IL10,NA,activating,NA,1,IL10,1,-0.1674076908171923
IL10@Condition:CD4+ T cell&Duration:8@GSE15390.MicroArray.GPL2507,IL10,IL10,-4.4139049564323045,GSE15390,MicroArray,GPL2507,NA,CD4+ T cell,IL10,NA,activating,8,1,IL10,1,-0.1674076908171923
IL10@Condition:CD4+ T cell&Duration:8h@GSE17199.MicroArray.GPL2507,IL10,IL10,-4.2805682439862895,GSE17199,MicroArray,GPL2507,NA,CD4+ T cell,IL10,NA,activating,8h,1,IL10,1,-0.1674076908171923
IL10@Condition:Macrophage@E-MTAB-3255.MicroArray.MDM_Transformed_data_matrix,IL10,IL10,-5.3050250966004064,E-MTAB-3255,MicroArray,MDM_Transformed_data_matrix,NA,Macrophage,IL10,NA,activating,NA,1,IL10,1,-0.1674076908171923
IL10@Condition:Macrophage@GSE49240.MicroArray.GPL10558,IL10,IL10,-3.995633289567733,GSE49240,MicroArray,GPL10558,NA,Macrophage,IL10,NA,activating,NA,1,IL10,1,-0.1674076908171923
IL10@Condition:Macrophage&Duration:12h@GSE57614.MicroArray.GPL6480,IL10,IL10,5.036348973931773,GSE57614,MicroArray,GPL6480,NA,Macrophage,IL10,NA,activating,12h,1,IL10,1,-0.1674076908171923
IL10@Condition:Macrophage&Duration:24 h@GSE85346.MicroArray.GPL13497,IL10,IL10,-2.7937986445248764,GSE85346,MicroArray,GPL13497,NA,Macrophage,IL10,NA,activating,24 h,1,IL10,1,-0.1674076908171923
IL10@Condition:Macrophage&Duration:24h@GSE47538.MicroArray.GPL13497,IL10,IL10,-2.9102423303537392,GSE47538,MicroArray,GPL13497,NA,Macrophage,IL10,NA,activating,24h,1,IL10,1,-0.1674076908171923
IL10@Condition:Macrophage&Duration:24h@GSE57614.MicroArray.GPL6480,IL10,IL10,4.6560454858848,GSE57614,MicroArray,GPL6480,NA,Macrophage,IL10,NA,activating,24h,1,IL10,1,-0.1674076908171923
IL10@Condition:Macrophage&Duration:6h@GSE57614.MicroArray.GPL6480,IL10,IL10,0.8542486048475402,GSE57614,MicroArray,GPL6480,NA,Macrophage,IL10,NA,activating,6h,1,IL10,1,-0.1674076908171923
IL10@Condition:MCSF Macrophage&Duration:2d@GSE61298.MicroArray.PrimeView,IL10,IL10,0.6688460004475598,GSE61298,MicroArray,PrimeView,NA,MCSF Macrophage,IL10,NA,activating,2d,1,IL10,1,-0.1674076908171923
IL10@Condition:Monocyte&Duration:3h@GSE82166.MicroArray.HuGene-1_0-st-v1,IL10,IL10,2.2817761373168888,GSE82166,MicroArray,HuGene-1_0-st-v1,NA,Monocyte,IL10,NA,activating,3h,1,IL10,1,-0.1674076908171923
IL10@Condition:Monocytes&Duration:1h@GSE35683.MicroArray.HG-U133_Plus_2,IL10,IL10,6.548177981346437,GSE35683,MicroArray,HG-U133_Plus_2,NA,Monocytes,IL10,NA,activating,1h,1,IL10,1,-0.1674076908171923
IL10@Condition:PBMC+MEC=1:1@GSE17493.MicroArray.GPL6480,IL10,IL10,-1.1813075852687105,GSE17493,MicroArray,GPL6480,NA,PBMC+MEC=1:1,IL10,NA,activating,NA,1,IL10,1,-0.1674076908171923
IL10@Condition:PBMC+MEC=10:1@GSE17493.MicroArray.GPL6480,IL10,IL10,-1.96490824867295,GSE17493,MicroArray,GPL6480,NA,PBMC+MEC=10:1,IL10,NA,activating,NA,1,IL10,1,-0.1674076908171923
IL10@Condition:Polymorphonuclear cells&Duration:1h@GSE35683.MicroArray.HG-U133_Plus_2,IL10,IL10,1.614385169202039,GSE35683,MicroArray,HG-U133_Plus_2,NA,Polymorphonuclear cells,IL10,NA,activating,1h,1,IL10,1,-0.1674076908171923
IL10@Condition:T CD8@GSE79127.MicroArray.HG-U133A_2,IL10,IL10,6.615011264071777,GSE79127,MicroArray,HG-U133A_2,NA,T CD8,IL10,NA,activating,NA,1,IL10,1,-0.1674076908171923
NTF4@Condition:embryonic stem cell&Duration:0.5h@E-MTAB-6975.RNASeq.ERP109789_GRCh38,NTF4,NTF4,0.7689769087499283,E-MTAB-6975,RNASeq,ERP109789_GRCh38,NA,embryonic stem cell,NTF4,NA,activating,0.5h,1,NTF4,2,-0.18475900276955518
NTF4@Condition:embryonic stem cell&Duration:12.0h@E-MTAB-6975.RNASeq.ERP109789_GRCh38,NTF4,NTF4,-0.42609497397408186,E-MTAB-6975,RNASeq,ERP109789_GRCh38,NA,embryonic stem cell,NTF4,NA,activating,12.0h,1,NTF4,2,-0.18475900276955518
NTF4@Condition:embryonic stem cell&Duration:2.0h@E-MTAB-6975.RNASeq.ERP109789_GRCh38,NTF4,NTF4,-0.609816489884112,E-MTAB-6975,RNASeq,ERP109789_GRCh38,NA,embryonic stem cell,NTF4,NA,activating,2.0h,1,NTF4,2,-0.18475900276955518
NTF4@Condition:embryonic stem cell&Duration:24.0h@E-MTAB-6975.RNASeq.ERP109789_GRCh38,NTF4,NTF4,-0.4721014559699552,E-MTAB-6975,RNASeq,ERP109789_GRCh38,NA,embryonic stem cell,NTF4,NA,activating,24.0h,1,NTF4,2,-0.18475900276955518
IGF1@Condition:endometrial carcinoma@GSE109022.MicroArray.GPL17692,IGF1,IGF1,-0.7345126534865862,GSE109022,MicroArray,GPL17692,NA,endometrial carcinoma,IGF1,NA,activating,NA,1,IGF1,2,-0.4403976916516537
IGF1@Condition:MCF-7&Duration:24h@GSE7561.MicroArray.HG-U133A_2,IGF1,IGF1,-0.1719684375599964,GSE7561,MicroArray,HG-U133A_2,NA,MCF-7,IGF1,NA,activating,24h,1,IGF1,2,-0.4403976916516537
IGF1@Condition:MCF-7&Duration:3h@GSE7561.MicroArray.HG-U133A_2,IGF1,IGF1,-0.5955562300128416,GSE7561,MicroArray,HG-U133A_2,NA,MCF-7,IGF1,NA,activating,3h,1,IGF1,2,-0.4403976916516537
IGF1@Condition:MCF7&Duration:24h@GSE26834.MicroArray.HG-U133A_2,IGF1,IGF1,-0.22672803281707532,GSE26834,MicroArray,HG-U133A_2,NA,MCF7,IGF1,NA,activating,24h,1,IGF1,2,-0.4403976916516537
IGF1@Condition:MCF7&Duration:3h@GSE26834.MicroArray.HG-U133A_2,IGF1,IGF1,-0.5802217779512304,GSE26834,MicroArray,HG-U133A_2,NA,MCF7,IGF1,NA,activating,3h,1,IGF1,2,-0.4403976916516537
IGF1@Condition:WM35@GSE59343.MicroArray.GPL10558,IGF1,IGF1,-0.3333990180821922,GSE59343,MicroArray,GPL10558,NA,WM35,IGF1,NA,activating,NA,1,IGF1,2,-0.4403976916516537
BDNF@Condition:embryonic stem cell&Duration:0.5h@E-MTAB-6975.RNASeq.ERP109789_GRCh38,BDNF,BDNF,0.29246726161895076,E-MTAB-6975,RNASeq,ERP109789_GRCh38,NA,embryonic stem cell,BDNF,NA,activating,0.5h,1,BDNF,3,-0.475506878739235
BDNF@Condition:embryonic stem cell&Duration:12.0h@E-MTAB-6975.RNASeq.ERP109789_GRCh38,BDNF,BDNF,-1.2754483216407273,E-MTAB-6975,RNASeq,ERP109789_GRCh38,NA,embryonic stem cell,BDNF,NA,activating,12.0h,1,BDNF,3,-0.475506878739235
BDNF@Condition:embryonic stem cell&Duration:2.0h@E-MTAB-6975.RNASeq.ERP109789_GRCh38,BDNF,BDNF,-0.9263196855044074,E-MTAB-6975,RNASeq,ERP109789_GRCh38,NA,embryonic stem cell,BDNF,NA,activating,2.0h,1,BDNF,3,-0.475506878739235
BDNF@Condition:embryonic stem cell&Duration:24.0h@E-MTAB-6975.RNASeq.ERP109789_GRCh38,BDNF,BDNF,-1.1504872683322362,E-MTAB-6975,RNASeq,ERP109789_GRCh38,NA,embryonic stem cell,BDNF,NA,activating,24.0h,1,BDNF,3,-0.475506878739235
BDNF@Condition:SH-SY5Y&Duration:60min@GSE78055.MicroArray.GPL19395,BDNF,BDNF,0.6822536201622453,GSE78055,MicroArray,GPL19395,NA,SH-SY5Y,BDNF,NA,activating,60min,1,BDNF,3,-0.475506878739235
MCSF@Condition:CD34 positive hemapoietic stem cells@GSE107006.RNASeq.SRP125117_GRCh38,CSF1,CSF1,-0.23764198042583462,GSE107006,RNASeq,SRP125117_GRCh38,NA,CD34 positive hemapoietic stem cells,CSF1,NA,activating,NA,1,MCSF,3,-0.5518708783110977
MCSF@Condition:Macrophage@GSE49240.MicroArray.GPL10558,CSF1,CSF1,-3.2855616608754956,GSE49240,MicroArray,GPL10558,NA,Macrophage,CSF1,NA,activating,NA,1,MCSF,3,-0.5518708783110977
MCSF@Condition:Monocyte@GSE123270.MicroArray.GPL10558,CSF1,CSF1,3.262853653401504,GSE123270,MicroArray,GPL10558,NA,Monocyte,CSF1,NA,activating,NA,1,MCSF,3,-0.5518708783110977
MCSF@Condition:Monocyte@GSE123573.RNASeq.SRP173248_GRCh38,CSF1,CSF1,-2.3347363896884183,GSE123573,RNASeq,SRP173248_GRCh38,NA,Monocyte,CSF1,NA,activating,NA,1,MCSF,3,-0.5518708783110977
MCSF@Condition:monocyte@GSE37356.MicroArray.GPL10558,CSF1,CSF1,-2.9420751718719713,GSE37356,MicroArray,GPL10558,NA,monocyte,CSF1,NA,activating,NA,1,MCSF,3,-0.5518708783110977
MCSF@Condition:Monocyte@GSE9801.MicroArray.HG-U133_Plus_2,CSF1,CSF1,-1.6899008378257674,GSE9801,MicroArray,HG-U133_Plus_2,NA,Monocyte,CSF1,NA,activating,NA,1,MCSF,3,-0.5518708783110977
MCSF@Condition:Monocyte@GSE9801.MicroArray.HG-U133A,CSF1,CSF1,-0.5992756422563332,GSE9801,MicroArray,HG-U133A,NA,Monocyte,CSF1,NA,activating,NA,1,MCSF,3,-0.5518708783110977
MCSF@Condition:Whole Blood&Duration:24h@GSE136440.MicroArray.HT_HG-U133_Plus_PM,CSF1,CSF1,2.1769003141732943,GSE136440,MicroArray,HT_HG-U133_Plus_PM,NA,Whole Blood,CSF1,NA,activating,24h,1,MCSF,3,-0.5518708783110977
MCSF@Condition:Whole Blood&Duration:4h@GSE136440.MicroArray.HT_HG-U133_Plus_PM,CSF1,CSF1,0.6825998105691435,GSE136440,MicroArray,HT_HG-U133_Plus_PM,NA,Whole Blood,CSF1,NA,activating,4h,1,MCSF,3,-0.5518708783110977
IL18@Condition:Whole Blood&Duration:2h@GSE25742.MicroArray.GPL10558,IL18,IL18,-0.5709598765041891,GSE25742,MicroArray,GPL10558,NA,Whole Blood,IL18,NA,activating,2h,1,IL18,4,-0.5709598765041891
WNT5A@Condition:hESC-derived endocrine progenitors&Duration:12h@GSE90785.RNASeq.SRP094450_GRCh38,WNT5A,WNT5A,-0.9911539818025719,GSE90785,RNASeq,SRP094450_GRCh38,NA,hESC-derived endocrine progenitors,WNT5A,NA,activating,12h,1,WNT5A,2,-0.743617830459914
WNT5A@Condition:hESC-derived endocrine progenitors&Duration:5d@GSE90785.RNASeq.SRP094450_GRCh38,WNT5A,WNT5A,0.7011578377559285,GSE90785,RNASeq,SRP094450_GRCh38,NA,hESC-derived endocrine progenitors,WNT5A,NA,activating,5d,1,WNT5A,2,-0.743617830459914
WNT5A@Condition:human fetal liver progenitor cells (hFLPC)@GSE106755.MicroArray.HuGene-2_1-st,WNT5A,WNT5A,-1.6441968535665363,GSE106755,MicroArray,HuGene-2_1-st,NA,human fetal liver progenitor cells (hFLPC),WNT5A,NA,activating,NA,1,WNT5A,2,-0.743617830459914
WNT5A@Condition:SV40LT-HFL@GSE106755.MicroArray.HuGene-2_1-st,WNT5A,WNT5A,-1.0402783242264766,GSE106755,MicroArray,HuGene-2_1-st,NA,SV40LT-HFL,WNT5A,NA,activating,NA,1,WNT5A,2,-0.743617830459914
LIF@Condition:Female hiPSC@GSE44044.MicroArray.GPL14550,LIF,LIF,-0.6592619201444931,GSE44044,MicroArray,GPL14550,NA,Female hiPSC,LIF,NA,activating,NA,1,LIF,3,-1.1930575695292758
LIF@Condition:Female hiPSC@GSE44044.MicroArray.GPL6480,LIF,LIF,-1.7268532189140586,GSE44044,MicroArray,GPL6480,NA,Female hiPSC,LIF,NA,activating,NA,1,LIF,3,-1.1930575695292758
THPO@Condition:Human HSCs&Duration:16h@GSE107428.MicroArray.HuGene-2_0-st,THPO,THPO,-1.2445231870552425,GSE107428,MicroArray,HuGene-2_0-st,NA,Human HSCs,THPO,NA,activating,16h,1,THPO,3,-1.2445231870552425
CD40L@Condition:HCK&Duration:24h@GSE54181.MicroArray.GPL10558,CD40LG,CD40LG,-0.24972870784848866,GSE54181,MicroArray,GPL10558,NA,HCK,CD40LG,NA,activating,24h,1,CD40L,3,-1.7333437602729915
CD40L@Condition:HCK&Duration:2h@GSE54181.MicroArray.GPL10558,CD40LG,CD40LG,-2.051401384190141,GSE54181,MicroArray,GPL10558,NA,HCK,CD40LG,NA,activating,2h,1,CD40L,3,-1.7333437602729915
CD40L@Condition:HCK18&Duration:24h@GSE54181.MicroArray.GPL10558,CD40LG,CD40LG,-2.294573621943793,GSE54181,MicroArray,GPL10558,NA,HCK18,CD40LG,NA,activating,24h,1,CD40L,3,-1.7333437602729915
CD40L@Condition:HCK18&Duration:2h@GSE54181.MicroArray.GPL10558,CD40LG,CD40LG,-1.6887929918362719,GSE54181,MicroArray,GPL10558,NA,HCK18,CD40LG,NA,activating,2h,1,CD40L,3,-1.7333437602729915
CD40L@Condition:HFK 1&Duration:24h@GSE54181.MicroArray.GPL10558,CD40LG,CD40LG,-1.491888498734576,GSE54181,MicroArray,GPL10558,NA,HFK 1,CD40LG,NA,activating,24h,1,CD40L,3,-1.7333437602729915
CD40L@Condition:HFK 1&Duration:2h@GSE54181.MicroArray.GPL10558,CD40LG,CD40LG,-1.9728072784526833,GSE54181,MicroArray,GPL10558,NA,HFK 1,CD40LG,NA,activating,2h,1,CD40L,3,-1.7333437602729915
CD40L@Condition:HFK 2&Duration:24h@GSE54181.MicroArray.GPL10558,CD40LG,CD40LG,-1.3781465926535916,GSE54181,MicroArray,GPL10558,NA,HFK 2,CD40LG,NA,activating,24h,1,CD40L,3,-1.7333437602729915
CD40L@Condition:HFK 2&Duration:2h@GSE54181.MicroArray.GPL10558,CD40LG,CD40LG,-1.8586453539653698,GSE54181,MicroArray,GPL10558,NA,HFK 2,CD40LG,NA,activating,2h,1,CD40L,3,-1.7333437602729915
CD40L@Condition:HFK16&Duration:24h@GSE54181.MicroArray.GPL10558,CD40LG,CD40LG,-2.583283317103879,GSE54181,MicroArray,GPL10558,NA,HFK16,CD40LG,NA,activating,24h,1,CD40L,3,-1.7333437602729915
CD40L@Condition:HFK16&Duration:2h@GSE54181.MicroArray.GPL10558,CD40LG,CD40LG,-2.278171796375576,GSE54181,MicroArray,GPL10558,NA,HFK16,CD40LG,NA,activating,2h,1,CD40L,3,-1.7333437602729915
CD40L@Condition:HVK&Duration:24h@GSE54181.MicroArray.GPL10558,CD40LG,CD40LG,-0.7637322448651769,GSE54181,MicroArray,GPL10558,NA,HVK,CD40LG,NA,activating,24h,1,CD40L,3,-1.7333437602729915
CD40L@Condition:HVK&Duration:2h@GSE54181.MicroArray.GPL10558,CD40LG,CD40LG,-2.0697838375372095,GSE54181,MicroArray,GPL10558,NA,HVK,CD40LG,NA,activating,2h,1,CD40L,3,-1.7333437602729915
CD40L@Condition:HVK16&Duration:24h@GSE54181.MicroArray.GPL10558,CD40LG,CD40LG,-2.4263384931318783,GSE54181,MicroArray,GPL10558,NA,HVK16,CD40LG,NA,activating,24h,1,CD40L,3,-1.7333437602729915
CD40L@Condition:HVK16&Duration:2h@GSE54181.MicroArray.GPL10558,CD40LG,CD40LG,-2.1787712004579953,GSE54181,MicroArray,GPL10558,NA,HVK16,CD40LG,NA,activating,2h,1,CD40L,3,-1.7333437602729915
CD40L@Condition:HVK18&Duration:24h@GSE54181.MicroArray.GPL10558,CD40LG,CD40LG,-1.5612075587637624,GSE54181,MicroArray,GPL10558,NA,HVK18,CD40LG,NA,activating,24h,1,CD40L,3,-1.7333437602729915
CD40L@Condition:HVK18&Duration:2h@GSE54181.MicroArray.GPL10558,CD40LG,CD40LG,-1.8363829197622699,GSE54181,MicroArray,GPL10558,NA,HVK18,CD40LG,NA,activating,2h,1,CD40L,3,-1.7333437602729915
CD40L@Condition:Naïve B cells purified from peripheral blood@GSE85543.MicroArray.HT_HG-U133_Plus_PM,CD40LG,CD40LG,-0.7831881270181937,GSE85543,MicroArray,HT_HG-U133_Plus_PM,NA,Naïve B cells purified from peripheral blood,CD40LG,NA,activating,NA,1,CD40L,3,-1.7333437602729915
ANGPT1@Condition:HUVEC&Duration:4h@GSE77597.RNASeq.SRP069359_GRCh38,ANGPT1,ANGPT1,NA,GSE77597,RNASeq,SRP069359_GRCh38,NA,HUVEC,ANGPT1,NA,activating,4h,1,ANGPT1,NA,NA
FGF2@Condition:Dermal fibroblasts&Duration:72h@GSE122368.RNASeq.SRP168353_GRCh38,FGF2,FGF2,NA,GSE122368,RNASeq,SRP168353_GRCh38,NA,Dermal fibroblasts,FGF2,NA,activating,72h,1,FGF2,NA,NA
FGF2@Condition:H9 hESCs&Duration:24h@GSE11302.MicroArray.GPL6104,FGF2,FGF2,NA,GSE11302,MicroArray,GPL6104,NA,H9 hESCs,FGF2,NA,activating,24h,1,FGF2,NA,NA
FGF2@Condition:LNCaP@GSE62192.MicroArray.GPL4133,FGF2,FGF2,NA,GSE62192,MicroArray,GPL4133,NA,LNCaP,FGF2,NA,activating,NA,1,FGF2,NA,NA
FGF2@Condition:Neural progenitor cells@GSE63015.RNASeq.SRP049553_GRCh38,FGF2,FGF2,NA,GSE63015,RNASeq,SRP049553_GRCh38,NA,Neural progenitor cells,FGF2,NA,activating,NA,1,FGF2,NA,NA
