id,source,score,target,accession,platformType,platform,pathway,cells,treatment,dose,effect,hours,sign,targets,hours_standardized,hours_inferred,inferred_time,inferred_time_systematic,inferred_time_expanded,inferred_time_all_conditions
TGFB1@Condition:A549 cells@GSE119145.RNASeq.SRP159066_GRCh38,TGFB1,0.4059648793653048,TGFB1,GSE119145,RNASeq,SRP159066_GRCh38,,A549 cells,TGFB1,,activating,,1.0,TGFB1,,,,,,
TGFB1@Condition:A549 cells@GSE135402.RNASeq.SRP217502_GRCh38,TGFB1,0.5180552643734132,TGFB1,GSE135402,RNASeq,SRP217502_GRCh38,,A549 cells,TGFB1,,activating,,1.0,TGFB1,,,,,,
TGFB1@Condition:A549@GSE49644.MicroArray.HG-U133_Plus_2,TGFB1,0.1359139933293345,TGFB1,GSE49644,MicroArray,HG-U133_Plus_2,,A549,TGFB1,,activating,,1.0,TGFB1,,,,,,
TGFB1@Condition:A549@GSE5457.MicroArray.HG-U133A,TGFB1,0.6614317935811254,TGFB1,GSE5457,MicroArray,HG-U133A,,A549,TGFB1,,activating,,1.0,TGFB1,,,,,,
TGFB1@Condition:Activated Macrophage@GSE134555.RNASeq.SRP215472_GRCh38,TGFB1,-1.310365528539961,TGFB1,GSE134555,RNASeq,SRP215472_GRCh38,,Activated Macrophage,TGFB1,,activating,,1.0,TGFB1,,,,,,
TGFB1@Condition:activated naive CD4 T cells@GSE78276.RNASeq.SRP070776_GRCh38,TGFB1,2.1160192125145074,TGFB1,GSE78276,RNASeq,SRP070776_GRCh38,,activated naive CD4 T cells,TGFB1,,activating,,1.0,TGFB1,,,,,,
TGFB1@Condition:BEAS-2B cell line no treatment@GSE104908.RNASeq.SRP119863_GRCh38,TGFB1,1.0441463683422794,TGFB1,GSE104908,RNASeq,SRP119863_GRCh38,,BEAS-2B cell line no treatment,TGFB1,,activating,,1.0,TGFB1,,,,,,
TGFB1@Condition:BEAS-2B cell line+ DEX@GSE104908.RNASeq.SRP119863_GRCh38,TGFB1,0.85535373276154,TGFB1,GSE104908,RNASeq,SRP119863_GRCh38,,BEAS-2B cell line+ DEX,TGFB1,,activating,,1.0,TGFB1,,,,,,
TGFB1@Condition:CCL210 fibroblast@GSE63659.MicroArray.GPL13667,TGFB1,1.0378559649386836,TGFB1,GSE63659,MicroArray,GPL13667,,CCL210 fibroblast,TGFB1,,activating,,1.0,TGFB1,,,,,,
TGFB1@Condition:CD34+ progenitors&Duration:24h@GSE31318.MicroArray.HG-U133_Plus_2,TGFB1,0.5818186001147474,TGFB1,GSE31318,MicroArray,HG-U133_Plus_2,,CD34+ progenitors,TGFB1,,activating,24h,1.0,TGFB1,24.0,24.0,24.0,24.0,24.0,24.0
TGFB1@Condition:CD34+ progenitors&Duration:6h@GSE31318.MicroArray.HG-U133_Plus_2,TGFB1,2.4132984390167684,TGFB1,GSE31318,MicroArray,HG-U133_Plus_2,,CD34+ progenitors,TGFB1,,activating,6h,1.0,TGFB1,6.0,6.0,6.0,6.0,6.0,6.0
TGFB1@Condition:CD4 Thelper&Duration:24h@GSE14330.MicroArray.HG-U133A_2,TGFB1,1.067912454748918,TGFB1,GSE14330,MicroArray,HG-U133A_2,,CD4 Thelper,TGFB1,,activating,24h,1.0,TGFB1,24.0,24.0,24.0,24.0,24.0,24.0
TGFB1@Condition:CD4+ effector memory T cells@GSE134555.RNASeq.SRP215472_GRCh38,TGFB1,0.9395685334137998,TGFB1,GSE134555,RNASeq,SRP215472_GRCh38,,CD4+ effector memory T cells,TGFB1,,activating,,1.0,TGFB1,,,,,,
TGFB1@Condition:CD4+ T cell_activated via CD3CD28@GSE17946.MicroArray.GPL2507,TGFB1,0.646995344843223,TGFB1,GSE17946,MicroArray,GPL2507,,CD4+ T cell,TGFB1,,activating,,1.0,TGFB1,,,,,,
TGFB1@Condition:CD4+ T cell&Duration:18+1@GSE15390.MicroArray.GPL2507,TGFB1,0.0280782779769249,TGFB1,GSE15390,MicroArray,GPL2507,,CD4+ T cell,TGFB1,,activating,18+1,1.0,TGFB1,,,,,,19.0
TGFB1@Condition:CD4+ T cell&Duration:18+8@GSE15390.MicroArray.GPL2507,TGFB1,-0.2798334892232927,TGFB1,GSE15390,MicroArray,GPL2507,,CD4+ T cell,TGFB1,,activating,18+8,1.0,TGFB1,,,,,,26.0
TGFB1@Condition:CD4+ T cell&Duration:20@GSE15390.MicroArray.GPL2507,TGFB1,1.0267926353044765,TGFB1,GSE15390,MicroArray,GPL2507,,CD4+ T cell,TGFB1,,activating,20,1.0,TGFB1,20.0,20.0,20.0,20.0,20.0,20.0
TGFB1@Condition:CD4+ T cells@GSE7497.MicroArray.GPL2507,TGFB1,0.0470604397793401,TGFB1,GSE7497,MicroArray,GPL2507,,CD4+ T cells,TGFB1,,activating,,1.0,TGFB1,,,,,,
TGFB1@Condition:Cholangiocyte cell line@GSE125577.RNASeq.SRP181858_GRCh38,TGFB1,0.636177651791813,TGFB1,GSE125577,RNASeq,SRP181858_GRCh38,,Cholangiocyte cell line,TGFB1,,activating,,1.0,TGFB1,,,,,,
TGFB1@Condition:endothelial cells (HUVEC)@GSE134555.RNASeq.SRP215472_GRCh38,TGFB1,0.6314643163487024,TGFB1,GSE134555,RNASeq,SRP215472_GRCh38,,endothelial cells (HUVEC),TGFB1,,activating,,1.0,TGFB1,,,,,,
TGFB1@Condition:fibroblast&Duration:12h@GSE99999.RNASeq.SRP109118_GRCh38,TGFB1,-0.101982308036155,TGFB1,GSE99999,RNASeq,SRP109118_GRCh38,,fibroblast,TGFB1,,activating,12h,1.0,TGFB1,12.0,12.0,12.0,12.0,12.0,12.0
TGFB1@Condition:fibroblast&Duration:48h@GSE99999.RNASeq.SRP109118_GRCh38,TGFB1,-0.4199297793309435,TGFB1,GSE99999,RNASeq,SRP109118_GRCh38,,fibroblast,TGFB1,,activating,48h,1.0,TGFB1,48.0,48.0,48.0,48.0,48.0,48.0
TGFB1@Condition:gingival fibroblast@GSE65069.MicroArray.HuGene-1_0-st-v1,TGFB1,-0.8568177473008773,TGFB1,GSE65069,MicroArray,HuGene-1_0-st-v1,,gingival fibroblast,TGFB1,,activating,,1.0,TGFB1,,,,,,
TGFB1@Condition:H1975&Duration:24h@GSE98979.MicroArray.HuGene-2_0-st,TGFB1,0.3233590658539526,TGFB1,GSE98979,MicroArray,HuGene-2_0-st,,H1975,TGFB1,,activating,24h,1.0,TGFB1,24.0,24.0,24.0,24.0,24.0,24.0
TGFB1@Condition:H1975&Duration:48h@GSE98979.MicroArray.HuGene-2_0-st,TGFB1,0.5449986483452934,TGFB1,GSE98979,MicroArray,HuGene-2_0-st,,H1975,TGFB1,,activating,48h,1.0,TGFB1,48.0,48.0,48.0,48.0,48.0,48.0
TGFB1@Condition:HaCat&Duration:12h@E-MTAB-265.MicroArray.log_rsn_normalized,TGFB1,0.241915139537434,TGFB1,E-MTAB-265,MicroArray,log_rsn_normalized,,HaCat,TGFB1,,activating,12h,1.0,TGFB1,12.0,12.0,12.0,12.0,12.0,12.0
TGFB1@Condition:HaCat&Duration:2h@E-MTAB-265.MicroArray.log_rsn_normalized,TGFB1,0.2888579322035855,TGFB1,E-MTAB-265,MicroArray,log_rsn_normalized,,HaCat,TGFB1,,activating,2h,1.0,TGFB1,2.0,2.0,2.0,2.0,2.0,2.0
TGFB1@Condition:HaCat&Duration:4h@E-MTAB-265.MicroArray.log_rsn_normalized,TGFB1,0.0119642216506069,TGFB1,E-MTAB-265,MicroArray,log_rsn_normalized,,HaCat,TGFB1,,activating,4h,1.0,TGFB1,4.0,4.0,4.0,4.0,4.0,4.0
TGFB1@Condition:HCC827@GSE49644.MicroArray.HG-U133_Plus_2,TGFB1,-0.4161974249721304,TGFB1,GSE49644,MicroArray,HG-U133_Plus_2,,HCC827,TGFB1,,activating,,1.0,TGFB1,,,,,,
TGFB1@Condition:HEK293 delta-RAF1:ER cells&Duration:1h@GSE97979.RNASeq.SRP104287_GRCh38,TGFB1,1.8959561257811488,TGFB1,GSE97979,RNASeq,SRP104287_GRCh38,,HEK293 delta-RAF1:ER cells,TGFB1,,activating,1h,1.0,TGFB1,1.0,1.0,1.0,1.0,1.0,1.0
TGFB1@Condition:HEK293 delta-RAF1:ER cells&Duration:4h@GSE97979.RNASeq.SRP104287_GRCh38,TGFB1,0.5228191630356648,TGFB1,GSE97979,RNASeq,SRP104287_GRCh38,,HEK293 delta-RAF1:ER cells,TGFB1,,activating,4h,1.0,TGFB1,4.0,4.0,4.0,4.0,4.0,4.0
TGFB1@Condition:hepatic stellate cells&Duration:24h@GSE128940.RNASeq.SRP189607_GRCh38,TGFB1,0.4794896946492413,TGFB1,GSE128940,RNASeq,SRP189607_GRCh38,,hepatic stellate cells,TGFB1,,activating,24h,1.0,TGFB1,24.0,24.0,24.0,24.0,24.0,24.0
TGFB1@Condition:hepatocellular carcinoma cell line@GSE10393.MicroArray.HT_HG-U133A,TGFB1,0.6072073675806011,TGFB1,GSE10393,MicroArray,HT_HG-U133A,,hepatocellular carcinoma cell line,TGFB1,,activating,,1.0,TGFB1,,,,,,
TGFB1@Condition:HepG2&Duration:8d@GSE127763.MicroArray.GPL13369,TGFB1,-1.273901198954483,TGFB1,GSE127763,MicroArray,GPL13369,,HepG2,TGFB1,,activating,8d,1.0,TGFB1,192.0,192.0,192.0,192.0,192.0,192.0
TGFB1@Condition:HFL1 fibroblast@GSE34815.MicroArray.GPL13607,TGFB1,0.1955749384644866,TGFB1,GSE34815,MicroArray,GPL13607,,HFL1 fibroblast,TGFB1,,activating,,1.0,TGFB1,,,,,,
TGFB1@Condition:HK-2 cells&Duration:48h@GSE29660.RNASeq.SRP006912_GRCh38,TGFB1,0.3433024614979415,TGFB1,GSE29660,RNASeq,SRP006912_GRCh38,,HK-2 cells,TGFB1,,activating,48h,1.0,TGFB1,48.0,48.0,48.0,48.0,48.0,48.0
TGFB1@Condition:hMSC&Duration:1d@GSE84500.MicroArray.HG-U133_Plus_2,TGFB1,-0.2841861810771404,TGFB1,GSE84500,MicroArray,HG-U133_Plus_2,,hMSC,TGFB1,,activating,1d,1.0,TGFB1,24.0,24.0,24.0,24.0,24.0,24.0
TGFB1@Condition:hMSC&Duration:2d@GSE84500.MicroArray.HG-U133_Plus_2,TGFB1,0.2747952472576546,TGFB1,GSE84500,MicroArray,HG-U133_Plus_2,,hMSC,TGFB1,,activating,2d,1.0,TGFB1,48.0,48.0,48.0,48.0,48.0,48.0
TGFB1@Condition:hMSC&Duration:3d@GSE84500.MicroArray.HG-U133_Plus_2,TGFB1,0.289861127298932,TGFB1,GSE84500,MicroArray,HG-U133_Plus_2,,hMSC,TGFB1,,activating,3d,1.0,TGFB1,72.0,72.0,72.0,72.0,72.0,72.0
TGFB1@Condition:hMSC&Duration:7d@GSE84500.MicroArray.HG-U133_Plus_2,TGFB1,0.8234115029237217,TGFB1,GSE84500,MicroArray,HG-U133_Plus_2,,hMSC,TGFB1,,activating,7d,1.0,TGFB1,168.0,168.0,168.0,168.0,168.0,168.0
TGFB1@Condition:HPS-19I prostate stroma cells@GSE51622.MicroArray.GPL4133,TGFB1,0.9120857156749412,TGFB1,GSE51622,MicroArray,GPL4133,,HPS-19I prostate stroma cells,TGFB1,,activating,,1.0,TGFB1,,,,,,
TGFB1@Condition:HuCCT1@GSE102109.MicroArray.GPL17077,TGFB1,0.1391936624204079,TGFB1,GSE102109,MicroArray,GPL17077,,HuCCT1,TGFB1,,activating,,1.0,TGFB1,,,,,,
TGFB1@Condition:Huh28@GSE102109.MicroArray.GPL17077,TGFB1,0.8498938871057892,TGFB1,GSE102109,MicroArray,GPL17077,,Huh28,TGFB1,,activating,,1.0,TGFB1,,,,,,
TGFB1@Condition:Huh7&Duration:8d@GSE127763.MicroArray.GPL13369,TGFB1,0.2872606713450794,TGFB1,GSE127763,MicroArray,GPL13369,,Huh7,TGFB1,,activating,8d,1.0,TGFB1,192.0,192.0,192.0,192.0,192.0,192.0
TGFB1@Condition:Human foreskin fibroblasts_with PCM@GSE16416.MicroArray.HG-U133_Plus_2,TGFB1,0.7146869872399964,TGFB1,GSE16416,MicroArray,HG-U133_Plus_2,,Human foreskin fibroblasts,TGFB1,,activating,,1.0,TGFB1,,,,,,
TGFB1@Condition:Human foreskin fibroblasts_without PCM@GSE16416.MicroArray.HG-U133_Plus_2,TGFB1,0.7493930511173788,TGFB1,GSE16416,MicroArray,HG-U133_Plus_2,,Human foreskin fibroblasts,TGFB1,,activating,,1.0,TGFB1,,,,,,
TGFB1@Condition:Human Lung Fibroblasts&Duration:8.0h@GSE60880.MicroArray.HG-U133A_2,TGFB1,1.466506368585247,TGFB1,GSE60880,MicroArray,HG-U133A_2,,Human Lung Fibroblasts,TGFB1,,activating,8.0h,1.0,TGFB1,8.0,8.0,8.0,8.0,8.0,8.0
TGFB1@Condition:Human pulmonary artery smooth muscle cells@GSE131998.RNASeq.SRP199934_GRCh38,TGFB1,1.9840066652121824,TGFB1,GSE131998,RNASeq,SRP199934_GRCh38,,Human pulmonary artery smooth muscle cells,TGFB1,,activating,,1.0,TGFB1,,,,,,
TGFB1@Condition:HUVEC@GSE56309.MicroArray.GPL10558,TGFB1,1.358243771085186,TGFB1,GSE56309,MicroArray,GPL10558,,HUVEC,TGFB1,,activating,,1.0,TGFB1,,,,,,
TGFB1@Condition:Induced Pluripotent Cell-derived Cardiac Progenitors@GSE98941.RNASeq.SRP107288_GRCh38,TGFB1,-1.6145557503659285,TGFB1,GSE98941,RNASeq,SRP107288_GRCh38,,Induced Pluripotent Cell-derived Cardiac Progenitors,TGFB1,,activating,,1.0,TGFB1,,,,,,
TGFB1@Condition:IPF769_ACT@GSE109585.MicroArray.GPL21185,TGFB1,1.7896552846281095,TGFB1,GSE109585,MicroArray,GPL21185,,IPF769,TGFB1,,activating,,1.0,TGFB1,,,,,,
TGFB1@Condition:IPF769@GSE109585.MicroArray.GPL21185,TGFB1,2.1169272532124888,TGFB1,GSE109585,MicroArray,GPL21185,,IPF769,TGFB1,,activating,,1.0,TGFB1,,,,,,
TGFB1@Condition:Macrophage&Duration:24h@GSE47538.MicroArray.GPL13497,TGFB1,1.390006422686412,TGFB1,GSE47538,MicroArray,GPL13497,,Macrophage,TGFB1,,activating,24h,1.0,TGFB1,24.0,24.0,24.0,24.0,24.0,24.0
TGFB1@Condition:MCF10A@GSE124843.RNASeq.SRP178052_GRCh38,TGFB1,0.5142592641482765,TGFB1,GSE124843,RNASeq,SRP178052_GRCh38,,MCF10A,TGFB1,,activating,,1.0,TGFB1,,,,,,
TGFB1@Condition:MCF10A@GSE8240.MicroArray.HT_HG-U133A,TGFB1,0.5664367988748359,TGFB1,GSE8240,MicroArray,HT_HG-U133A,,MCF10A,TGFB1,,activating,,1.0,TGFB1,,,,,,
TGFB1@Condition:Monocyte.THP1&Duration:24h@GSE17909.MicroArray.GPL6883,TGFB1,2.051431862041016,TGFB1,GSE17909,MicroArray,GPL6883,,Monocyte.THP1,TGFB1,,activating,24h,1.0,TGFB1,24.0,24.0,24.0,24.0,24.0,24.0
TGFB1@Condition:MRC5&Duration:48h@GSE25200.MicroArray.GPL4133,TGFB1,1.1980994848045106,TGFB1,GSE25200,MicroArray,GPL4133,,MRC5,TGFB1,,activating,48h,1.0,TGFB1,48.0,48.0,48.0,48.0,48.0,48.0
TGFB1@Condition:NCI-H358@GSE49644.MicroArray.HG-U133_Plus_2,TGFB1,0.2613118992266956,TGFB1,GSE49644,MicroArray,HG-U133_Plus_2,,NCI-H358,TGFB1,,activating,,1.0,TGFB1,,,,,,
TGFB1@Condition:Normal lung fibroblast&Duration:24h@GSE47538.MicroArray.GPL13497,TGFB1,1.449500259262557,TGFB1,GSE47538,MicroArray,GPL13497,,Normal lung fibroblast,TGFB1,,activating,24h,1.0,TGFB1,24.0,24.0,24.0,24.0,24.0,24.0
TGFB1@Condition:organoid culture of tubular adenoma@GSE79461.MicroArray.HT_HG-U133_Plus_PM,TGFB1,0.895533371849795,TGFB1,GSE79461,MicroArray,HT_HG-U133_Plus_PM,,organoid culture of tubular adenoma,TGFB1,,activating,,1.0,TGFB1,,,,,,
TGFB1@Condition:Panc-1@GSE82293.MicroArray.PrimeView,TGFB1,0.8509942221616376,TGFB1,GSE82293,MicroArray,PrimeView,,Panc-1,TGFB1,,activating,,1.0,TGFB1,,,,,,
TGFB1@Condition:PANC1@GSE90111.RNASeq.SRP093771_GRCh38,TGFB1,0.3041238234967421,TGFB1,GSE90111,RNASeq,SRP093771_GRCh38,,PANC1,TGFB1,,activating,,1.0,TGFB1,,,,,,
TGFB1@Condition:primary fibroblasts from neonatal foreskin&Duration:24h@GSE27165.MicroArray.GPL6104,TGFB1,-0.1729428207614018,TGFB1,GSE27165,MicroArray,GPL6104,,primary fibroblasts from neonatal foreskin,TGFB1,,activating,24h,1.0,TGFB1,24.0,24.0,24.0,24.0,24.0,24.0
TGFB1@Condition:primary fibroblasts from neonatal foreskin&Duration:48h@GSE27165.MicroArray.GPL6104,TGFB1,-0.9272970376963966,TGFB1,GSE27165,MicroArray,GPL6104,,primary fibroblasts from neonatal foreskin,TGFB1,,activating,48h,1.0,TGFB1,48.0,48.0,48.0,48.0,48.0,48.0
TGFB1@Condition:primary human lung fibroblasts_AZD8055 treatment&Duration:24h@GSE102674.RNASeq.SRP115472_GRCh38,TGFB1,0.6251242235506878,TGFB1,GSE102674,RNASeq,SRP115472_GRCh38,,primary human lung fibroblasts,TGFB1,,activating,24h,1.0,TGFB1,24.0,24.0,24.0,24.0,24.0,24.0
TGFB1@Condition:primary human lung fibroblasts_no treatment&Duration:24h@GSE102674.RNASeq.SRP115472_GRCh38,TGFB1,0.1949261859371244,TGFB1,GSE102674,RNASeq,SRP115472_GRCh38,,primary human lung fibroblasts,TGFB1,,activating,24h,1.0,TGFB1,24.0,24.0,24.0,24.0,24.0,24.0
TGFB1@Condition:primary human lung fibroblasts_rapamycin treatment&Duration:24h@GSE102674.RNASeq.SRP115472_GRCh38,TGFB1,0.3117745432083672,TGFB1,GSE102674,RNASeq,SRP115472_GRCh38,,primary human lung fibroblasts,TGFB1,,activating,24h,1.0,TGFB1,24.0,24.0,24.0,24.0,24.0,24.0
TGFB1@Condition:primary human skin fibroblasts_with LPA@GSE125519.MicroArray.GPL17077,TGFB1,0.981820692307574,TGFB1,GSE125519,MicroArray,GPL17077,,primary human skin fibroblasts,TGFB1,,activating,,1.0,TGFB1,,,,,,
TGFB1@Condition:primary human skin fibroblasts_without LPA@GSE125519.MicroArray.GPL17077,TGFB1,0.6542414667345282,TGFB1,GSE125519,MicroArray,GPL17077,,primary human skin fibroblasts,TGFB1,,activating,,1.0,TGFB1,,,,,,
TGFB1@Condition:Prostate Fibroblast@GSE68164.MicroArray.GPL10558,TGFB1,1.3923491520923958,TGFB1,GSE68164,MicroArray,GPL10558,,Prostate Fibroblast,TGFB1,,activating,,1.0,TGFB1,,,,,,
TGFB1@Condition:Smooth Muscle Cell@GSE30004.MicroArray.HuGene-1_0-st-v1,TGFB1,1.0338600159485007,TGFB1,GSE30004,MicroArray,HuGene-1_0-st-v1,,Smooth Muscle Cell,TGFB1,,activating,,1.0,TGFB1,,,,,,
TGFB1@Condition:smooth muscle cells (HASMC)@GSE134555.RNASeq.SRP215472_GRCh38,TGFB1,-0.3952027861958764,TGFB1,GSE134555,RNASeq,SRP215472_GRCh38,,smooth muscle cells (HASMC),TGFB1,,activating,,1.0,TGFB1,,,,,,
TGFB1@Condition:Squamous cell lung carcinoma cell line&Duration:24h@GSE95536.RNASeq.SRP100878_GRCh38,TGFB1,0.0278601755463836,TGFB1,GSE95536,RNASeq,SRP100878_GRCh38,,Squamous cell lung carcinoma cell line,TGFB1,,activating,24h,1.0,TGFB1,24.0,24.0,24.0,24.0,24.0,24.0
TGFB1@Condition:Squamous cell lung carcinoma cell line&Duration:48h@GSE95536.RNASeq.SRP100878_GRCh38,TGFB1,1.1363828804677154,TGFB1,GSE95536,RNASeq,SRP100878_GRCh38,,Squamous cell lung carcinoma cell line,TGFB1,,activating,48h,1.0,TGFB1,48.0,48.0,48.0,48.0,48.0,48.0
TGFB1@Condition:Squamous cell lung carcinoma cell line&Duration:8h@GSE95536.RNASeq.SRP100878_GRCh38,TGFB1,0.4768633902779133,TGFB1,GSE95536,RNASeq,SRP100878_GRCh38,,Squamous cell lung carcinoma cell line,TGFB1,,activating,8h,1.0,TGFB1,8.0,8.0,8.0,8.0,8.0,8.0
TGFB1@Condition:TF1a AML cell line&Duration:3d@GSE102483.MicroArray.HuGene-2_1-st,TGFB1,1.6948908478495808,TGFB1,GSE102483,MicroArray,HuGene-2_1-st,,TF1a AML cell line,TGFB1,,activating,3d,1.0,TGFB1,72.0,72.0,72.0,72.0,72.0,72.0
TGFB1@Condition:Trabecular Meshwork@GSE7144.MicroArray.GPL96,TGFB1,1.2847201232220895,TGFB1,GSE7144,MicroArray,GPL96,,Trabecular Meshwork,TGFB1,,activating,,1.0,TGFB1,,,,,,
TGFB2@Condition:HLE B-3 cells@GSE98225.MicroArray.GPL21047,TGFB2,4.10095409487649,TGFB2,GSE98225,MicroArray,GPL21047,,HLE B-3 cells,TGFB2,,activating,,1.0,TGFB2,,,,,,
TGFB2@Condition:Human coronary artery endothelial cells@GSE96089.MicroArray.GPL16699,TGFB2,-2.6057498109995416,TGFB2,GSE96089,MicroArray,GPL16699,,Human coronary artery endothelial cells,TGFB2,,activating,,1.0,TGFB2,,,,,,
TGFB2@Condition:Trabecular Meshwork@GSE7144.MicroArray.GPL96,TGFB2,4.25613280233314,TGFB2,GSE7144,MicroArray,GPL96,,Trabecular Meshwork,TGFB2,,activating,,1.0,TGFB2,,,,,,
TGFB3@Condition:heart valve endothelial cells&Duration:8h@GSE65445.MicroArray.GPL10904,TGFB3,4.497051530023788,TGFB3,GSE65445,MicroArray,GPL10904,,heart valve endothelial cells,TGFB3,,activating,8h,1.0,TGFB3,8.0,8.0,8.0,8.0,8.0,8.0
TGFB3@Condition:heart valve interstitial cells&Duration:8h@GSE65445.MicroArray.GPL10904,TGFB3,2.772017275484263,TGFB3,GSE65445,MicroArray,GPL10904,,heart valve interstitial cells,TGFB3,,activating,8h,1.0,TGFB3,8.0,8.0,8.0,8.0,8.0,8.0
THPO@Condition:Human HSCs&Duration:16h@GSE107428.MicroArray.HuGene-2_0-st,THPO,-0.7721148447982386,THPO,GSE107428,MicroArray,HuGene-2_0-st,,Human HSCs,THPO,,activating,16h,1.0,THPO,16.0,16.0,16.0,16.0,16.0,16.0
TNFA@Condition:293&Duration:24h@GSE136439.MicroArray.HT_HG-U133_Plus_PM,TNF,-0.6890917237759775,TNF,GSE136439,MicroArray,HT_HG-U133_Plus_PM,,293,TNF,,activating,24h,1.0,TNFA,24.0,24.0,24.0,24.0,24.0,24.0
TNFA@Condition:293&Duration:4h@GSE136439.MicroArray.HT_HG-U133_Plus_PM,TNF,0.3192314839433681,TNF,GSE136439,MicroArray,HT_HG-U133_Plus_PM,,293,TNF,,activating,4h,1.0,TNFA,4.0,4.0,4.0,4.0,4.0,4.0
TNFA@Condition:A549 nonsmall lung cancer cell line@GSE34329.RNASeq.SRP009790_GRCh38,TNF,-0.3779988452616125,TNF,GSE34329,RNASeq,SRP009790_GRCh38,,A549 nonsmall lung cancer cell line,TNF,,activating,,1.0,TNFA,,,,,,
TNFA@Condition:A549@GSE32254.MicroArray.HuGene-1_0-st-v1,TNF,-1.0795926812487129,TNF,GSE32254,MicroArray,HuGene-1_0-st-v1,,A549,TNF,,activating,,1.0,TNFA,,,,,,
TNFA@Condition:A549&Duration:24h@GSE136439.MicroArray.HT_HG-U133_Plus_PM,TNF,-1.6261426245106985,TNF,GSE136439,MicroArray,HT_HG-U133_Plus_PM,,A549,TNF,,activating,24h,1.0,TNFA,24.0,24.0,24.0,24.0,24.0,24.0
TNFA@Condition:A549&Duration:4h@GSE136439.MicroArray.HT_HG-U133_Plus_PM,TNF,-0.5944135196070002,TNF,GSE136439,MicroArray,HT_HG-U133_Plus_PM,,A549,TNF,,activating,4h,1.0,TNFA,4.0,4.0,4.0,4.0,4.0,4.0
TNFA@Condition:airway epithelial cells differentiated from the ES line CA2@GSE59472.MicroArray.HuGene-1_0-st-v1,TNF,0.3551144085870137,TNF,GSE59472,MicroArray,HuGene-1_0-st-v1,,airway epithelial cells differentiated from the ES line CA2,TNF,,activating,,1.0,TNFA,,,,,,
TNFA@Condition:Bronchial Epithelial Beas-B2@GSE16650.MicroArray.HG-U133_Plus_2,TNF,0.0692629371625489,TNF,GSE16650,MicroArray,HG-U133_Plus_2,,Bronchial Epithelial Beas-B2,TNF,,activating,,1.0,TNFA,,,,,,
TNFA@Condition:Caco-2@GSE1474.MicroArray.GPL96,TNF,1.784281224697414,TNF,GSE1474,MicroArray,GPL96,,Caco-2,TNF,,activating,,1.0,TNFA,,,,,,
TNFA@Condition:Calu-3 2B4&Duration:24h@GSE56678.MicroArray.GPL6480,TNF,-1.1978211726798988,TNF,GSE56678,MicroArray,GPL6480,,Calu-3 2B4,TNF,,activating,24h,1.0,TNFA,24.0,24.0,24.0,24.0,24.0,24.0
TNFA@Condition:Calu-3 2B4&Duration:6h@GSE56678.MicroArray.GPL6480,TNF,0.1532608195890914,TNF,GSE56678,MicroArray,GPL6480,,Calu-3 2B4,TNF,,activating,6h,1.0,TNFA,6.0,6.0,6.0,6.0,6.0,6.0
TNFA@Condition:CEM (T cell line)@GSE46599.MicroArray.GPL10558,TNF,-0.2999565105200098,TNF,GSE46599,MicroArray,GPL10558,,CEM (T cell line),TNF,,activating,,1.0,TNFA,,,,,,
TNFA@Condition:CEM-SS (T cell line)@GSE46599.MicroArray.GPL10558,TNF,-0.3097878366388145,TNF,GSE46599,MicroArray,GPL10558,,CEM-SS (T cell line),TNF,,activating,,1.0,TNFA,,,,,,
TNFA@Condition:colon adenocarcinoma cell line HT29@GSE108621.RNASeq.SRP127714_GRCh38,TNF,0.5972492904928677,TNF,GSE108621,RNASeq,SRP127714_GRCh38,,colon adenocarcinoma cell line HT29,TNF,,activating,,1.0,TNFA,,,,,,
TNFA@Condition:endocrine tumor cells@GSE64250.MicroArray.HuGene-1_1-st-v1,TNF,0.5327955384528168,TNF,GSE64250,MicroArray,HuGene-1_1-st-v1,,endocrine tumor cells,TNF,,activating,,1.0,TNFA,,,,,,
TNFA@Condition:Endothelial cells@GSE96962.RNASeq.SRP102361_GRCh38,TNF,0.2541437727143904,TNF,GSE96962,RNASeq,SRP102361_GRCh38,,Endothelial cells,TNF,,activating,,1.0,TNFA,,,,,,
TNFA@Condition:Endothelial@GSE6257.MicroArray.HG-U133_Plus_2,TNF,-1.37209634805421,TNF,GSE6257,MicroArray,HG-U133_Plus_2,,Endothelial,TNF,,activating,,1.0,TNFA,,,,,,
TNFA@Condition:Endothelium@GSE53999.MicroArray.GPL16043,TNF,0.0114805108154256,TNF,GSE53999,MicroArray,GPL16043,,Endothelium,TNF,,activating,,1.0,TNFA,,,,,,
TNFA@Condition:Fibroblast.IMR90&Duration:24h@GSE47542.MicroArray.GPL6480,TNF,0.01929703408427,TNF,GSE47542,MicroArray,GPL6480,,Fibroblast.IMR90,TNF,,activating,24h,1.0,TNFA,24.0,24.0,24.0,24.0,24.0,24.0
TNFA@Condition:HAEC&Duration:4h@GSE89970.RNASeq.SRP093727_GRCh38,TNF,0.3828805310812598,TNF,GSE89970,RNASeq,SRP093727_GRCh38,,HAEC,TNF,,activating,4h,1.0,TNFA,4.0,4.0,4.0,4.0,4.0,4.0
TNFA@Condition:HCT116@GSE28115.RNASeq.SRP006309_GRCh38,TNF,-0.1630377355822422,TNF,GSE28115,RNASeq,SRP006309_GRCh38,,HCT116,TNF,,activating,,1.0,TNFA,,,,,,
